"time","Time","HSShftTq","GenTq","Wind1VelX","RtVAvgxh","BldPitch1","NacYaw","RefGenSpd","GenSpeed","RotSpeed","LSSGagPxa","Azimuth","GenAccel","YawBrTAxp","YawBrTAyp"
5.7000000000000028E-001,5.7000000000000006E-001,3.4663357372576493E+003,2.5200247500000000E+003,1.1000000000000000E+001,1.0179533546016742E+001,1.4756471089773282E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.8307982274547996E+000,7.8075357020426424E+000,2.6024884944511243E+001,2.6323923258269495E+001,2.9563015973835846E+001,4.7327376493396867E-001,5.1583917879907161E-002
5.8000000000000029E-001,5.7999999999999996E-001,3.3648730674269500E+003,2.4240030000000002E+003,1.1000000000000000E+001,1.0130966336968982E+001,1.4956471835275944E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.8799659908858439E+000,7.8459013645831606E+000,2.6496209228007885E+001,2.6793527381873364E+001,2.9400071456946414E+001,4.4935566533532134E-001,5.9866782187190631E-002
5.9000000000000030E-001,5.8999999999999997E-001,3.2560208737281582E+003,2.3279817499999999E+003,1.1000000000000000E+001,1.0082899639111096E+001,1.5156471513561558E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.9286705789204381E+000,7.8838676375884020E+000,2.6970471596743920E+001,2.7265423407881791E+001,2.9006950091501476E+001,4.2822403953878824E-001,6.7913819396073771E-002
6.0000000000000031E-001,5.9999999999999998E-001,3.1398354546454980E+003,2.2319587500000002E+003,1.1000000000000000E+001,1.0035796473499717E+001,1.5356474393498345E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.9765284376459595E+000,7.9210522614098666E+000,2.7447632733945024E+001,2.7739575852257595E+001,2.8384519333775351E+001,4.0990985808615465E-001,7.5698043027138659E-002
6.1000000000000032E-001,6.0999999999999999E-001,3.0164351237442397E+003,2.1359389999999999E+003,1.1000000000000000E+001,9.9901310759823367E+000,1.5556470870132773E+000,0.0000000000000000E+000,5.0038313060796220E+000,8.0231608644457886E+000,7.9570856787785926E+000,2.7927630460021014E+001,2.8215926654728221E+001,2.7537055916091255E+001,3.9441011130504350E-001,8.3193531590290165E-002
6.2000000000000033E-001,6.2000000000000000E-001,2.8860182621129352E+003,2.0399172500000000E+003,1.1000000000000000E+001,9.9464178154802205E+000,1.5756471615635443E+000,0.0000000000000000E+000,5.0038313060796220E+000,8.0681967213914607E+000,7.9916152477001186E+000,2.8410380058410240E+001,2.8694396069407770E+001,2.6469972289041923E+001,3.8169392542238167E-001,9.0377691102411339E-002
6.3000000000000034E-001,6.3000000000000000E-001,2.7488583320687958E+003,1.9438945000000001E+003,1.1000000000000000E+001,9.9050953468204224E+000,1.5956474495572226E+000,0.0000000000000000E+000,5.0038313060796220E+000,8.1112779222982088E+000,8.0243092798847169E+000,2.8895774933585180E+001,2.9174883800366445E+001,2.5192816960569505E+001,3.7170222781182161E-001,9.7237492769072467E-002
6.4000000000000035E-001,6.4000000000000001E-001,2.6053181185725753E+003,1.8478747499999999E+003,1.1000000000000000E+001,9.8664562678657965E+000,1.6156470972206662E+000,0.0000000000000000E+000,5.0038313060796220E+000,8.1520624437597320E+000,8.0548610623114296E+000,2.9383687439415667E+001,2.9657270381140354E+001,2.3716154256951825E+001,3.6436683591185426E-001,1.0375962879460590E-001
6.5000000000000036E-001,6.5000000000000002E-001,2.4558438539258136E+003,1.7518528750000000E+003,1.1000000000000000E+001,9.8307711350958566E+000,1.6356471717709329E+000,0.0000000000000000E+000,5.0038313060796220E+000,8.1902289476854158E+000,8.0829919721082018E+000,2.9873970031861063E+001,3.0141418768102600E+001,2.2053780237232214E+001,3.5956955868714452E-001,1.0993645636378556E-001
6.6000000000000036E-001,6.6000000000000003E-001,2.3009507043103035E+003,1.6558301250000000E+003,1.1000000000000000E+001,9.7983493741776400E+000,1.6556474597646109E+000,0.0000000000000000E+000,5.0038313060796220E+000,8.2254819083920836E+000,8.1084540000157581E+000,3.0366456633003789E+001,3.0627176106717489E+001,2.0222572717622036E+001,3.5714821280130460E-001,1.1575069267863665E-001
6.7000000000000037E-001,6.7000000000000004E-001,2.1412274272442751E+003,1.5598103750000000E+003,1.1000000000000000E+001,9.7694689984252996E+000,1.6756471074280550E+000,0.0000000000000000E+000,5.0038313060796220E+000,8.2575540254810882E+000,8.1310322981061596E+000,3.0860964246658284E+001,3.1114375647215724E+001,1.8240164922194104E+001,3.5692529175687854E-001,1.2118963160431961E-001
6.8000000000000038E-001,6.8000000000000005E-001,1.9773274061568286E+003,1.4637885000000001E+003,1.1000000000000000E+001,9.7443682522315545E+000,1.6956471819783212E+000,0.0000000000000000E+000,5.0038313060796220E+000,8.2862100168755362E+000,8.1505474236775104E+000,3.1357294802623429E+001,3.1602838801052918E+001,1.6126843814936258E+001,3.5870367660314856E-001,1.2624321048867765E-001
